1,Pearl Street,12,Willow Run,AMERICA,New Jersey,NJ
2, Woodland Avenue,2,Mount Baker,AMERICA,New York,NY
3, Prospect Avenue,,Conyersville,AMERICA,Montana,
4, Central Avenue,23,Willaha,AMERICA,Oklahoma,Okla
5, Circle Drive,,Mount Baker,AMERICA,Illinois,Ill
6,Magnolia Court,12,Willaha,AMERICA,Kentucky,Ky
7,th Street West,1,Farmington Lake,AMERICA,Mississippi,Miss
8,Devon Road,1,Spring City,AMERICA,Callifornia,CA
9,Sycamore Lane,9,Mittenlane,AMERICA,New York,NY
10, Madison Street,26,Coltman,AMERICA,Callifornia,CA
11,Route 20,,Pickerel Narrows,AMERICA,New Jersey,NJ
12, Front Street South,1,Coltman,AMERICA,Montana,Mont
13,Bayberry Drive,,Willaha,AMERICA,Oklahoma,
14, Hanover Court,45,East Waterfored,AMERICA,Mississippi,Miss
15,Wood Street,4,Center,AMERICA,Illinois,
